  10 -898.91805468 28.47s
  15 -904.94178675 28.21s
  20 -906.98290563 36.27s
  25 -907.64526714 46.51s
  30 -907.84570192 53.45s
  35 -907.89387201 56.08s
  40 -907.90065262 1m
  45 -907.90151187 1m24.06s
  50 -907.90355905 1m38.95s
  60 -907.90887622 2m19.27s
  70 -907.91093620 3m19.70s
  80 -907.91114557 3m48.37s
 100 -907.91202911 5m34.23s
